Brand_ID,Channel,First_Touch(%),Last_Touch(%),Mid_Touch(%),Funnel_Role,Markov_Attribution(%)
B01,Google Search,15.0,8.0,35.5,Influencer/Assist,16.8
B01,Influencer Blog,19.5,9.0,34.7,Influencer/Assist,17.0
B01,Instagram,31.2,67.9,37.0,Closer/Converter,32.7
B01,Marketplace,17.2,7.3,38.8,Influencer/Assist,16.8
B01,YouTube,17.0,7.7,36.4,Influencer/Assist,16.6
B02,Google Search,30.5,86.0,49.5,Closer/Converter,36.7
B02,Influencer Blog,26.0,2.8,77.4,Influencer/Assist,16.3
B02,Instagram,15.0,3.8,41.3,Influencer/Assist,15.6
B02,Marketplace,13.8,3.7,41.3,Influencer/Assist,15.8
B02,YouTube,14.8,3.8,43.5,Influencer/Assist,15.6
B03,Google Search,20.8,22.1,23.1,Influencer/Assist,20.5
B03,Influencer Blog,21.1,23.1,19.8,Influencer/Assist,20.8
B03,Instagram,17.8,18.8,26.4,Influencer/Assist,19.6
B03,Marketplace,17.8,17.5,25.7,Influencer/Assist,19.3
B03,YouTube,22.4,18.5,21.5,Influencer/Assist,19.7
B04,Google Search,17.1,21.0,25.1,Influencer/Assist,20.2
B04,Influencer Blog,17.5,26.0,23.2,Closer/Converter,21.7
B04,Instagram,17.5,17.5,26.7,Influencer/Assist,19.4
B04,Marketplace,23.5,18.4,21.9,Influencer/Assist,19.5
B04,YouTube,24.4,17.1,22.2,Influencer/Assist,19.3
B05,Google Search,26.7,24.2,23.6,Primer/Introducer,21.2
B05,Influencer Blog,25.5,24.8,16.1,Primer/Introducer,21.5
B05,Instagram,21.1,21.7,18.6,Influencer/Assist,20.3
B05,Marketplace,26.1,26.7,21.7,Closer/Converter,21.8
B05,YouTube,0.6,2.5,1.9,Influencer/Assist,15.2
B06,Google Search,18.3,22.4,26.9,Influencer/Assist,20.6
B06,Influencer Blog,19.3,19.3,27.9,Influencer/Assist,19.6
B06,Instagram,19.0,15.9,25.2,Influencer/Assist,19.0
B06,Marketplace,24.1,21.0,29.7,Influencer/Assist,20.3
B06,YouTube,19.3,21.4,22.8,Influencer/Assist,20.4
B07,Google Search,36.8,69.5,45.2,Closer/Converter,32.7
B07,Influencer Blog,18.0,1.9,40.4,Influencer/Assist,15.7
B07,Instagram,14.5,2.4,41.5,Influencer/Assist,15.6
B07,Marketplace,15.6,23.9,29.9,Influencer/Assist,20.4
B07,YouTube,15.1,2.2,42.7,Influencer/Assist,15.6
B08,Google Search,19.9,22.9,25.2,Influencer/Assist,20.8
B08,Influencer Blog,21.9,17.6,24.2,Influencer/Assist,19.2
B08,Instagram,19.6,17.6,22.2,Influencer/Assist,19.4
B08,Marketplace,20.3,23.9,19.3,Influencer/Assist,21.0
B08,YouTube,18.3,18.0,24.8,Influencer/Assist,19.6
B09,Google Search,16.3,5.3,38.0,Influencer/Assist,16.1
B09,Influencer Blog,18.3,1.9,45.7,Influencer/Assist,15.2
B09,Instagram,13.0,4.3,43.8,Influencer/Assist,15.9
B09,Marketplace,31.7,83.7,48.1,Closer/Converter,36.9
B09,YouTube,20.7,4.8,38.0,Influencer/Assist,16.0
B10,Google Search,19.2,17.6,21.8,Influencer/Assist,19.3
B10,Influencer Blog,20.8,21.2,23.8,Influencer/Assist,20.1
B10,Instagram,18.6,17.9,21.5,Influencer/Assist,19.5
B10,Marketplace,22.5,23.8,21.8,Influencer/Assist,21.1
B10,YouTube,18.9,19.5,23.8,Influencer/Assist,20.0
